Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,is_Dropout,Dropout_Prediction,Probability,RiskLevel,Course_title
1,17,5,171,1,1,122.0000,1,19,12,5,9,127.3000,True,False,False,True,1,False,20,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Dropout,True,True,0.6437,Medium,Animation and Multimedia Design
1,15,1,9254,1,1,160.0000,1,1,3,3,3,142.5000,True,False,False,False,1,False,19,False,0,6,6,6,14.0000,0,0,6,6,6,13.6667,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.2701,Medium,Tourism
1,1,5,9070,1,1,122.0000,1,37,37,9,9,124.8000,True,False,False,False,1,False,19,False,0,6,0,0,0.0000,0,0,6,0,0,0.0000,0,10.8000,1.4000,1.7400,Dropout,True,True,0.9847,High,Communication Design
1,17,2,9773,1,1,122.0000,1,38,37,5,3,119.6000,True,False,False,True,0,False,20,False,0,6,8,6,13.4286,0,0,6,10,5,12.4000,0,9.4000,-0.8000,-3.1200,Graduate,False,False,0.1390,Low,Journalism and Communication
2,39,1,8014,0,1,100.0000,1,37,38,9,9,141.5000,False,False,False,True,0,False,45,False,0,6,9,5,12.3333,0,0,6,6,6,13.0000,0,13.9000,-0.3000,0.7900,Graduate,False,False,0.1573,Low,Social Service (evening attendance)
2,39,1,9991,0,19,133.1000,1,37,37,9,7,114.8000,False,False,True,True,1,False,50,False,0,5,10,5,11.8571,0,0,5,17,5,11.5000,5,16.2000,0.3000,-0.9200,Graduate,False,False,0.4395,Medium,Management (evening attendance)
1,1,1,9500,1,1,142.0000,1,19,38,7,10,128.4000,True,False,False,True,0,True,18,False,0,7,9,7,13.3000,0,0,8,8,8,14.3450,0,15.5000,2.8000,-4.0600,Graduate,False,False,0.0259,Low,Nursing
1,18,4,9254,1,1,119.0000,1,37,37,9,9,113.1000,True,False,False,False,1,False,22,False,0,5,5,0,0.0000,0,0,5,5,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,True,True,0.9912,High,Tourism
1,1,3,9238,1,1,137.0000,62,1,1,9,9,129.3000,False,False,False,True,0,True,21,True,0,6,8,6,13.8750,0,0,6,7,6,14.1429,0,16.2000,0.3000,-0.9200,Graduate,False,False,0.0223,Low,Social Service
1,1,1,9238,1,1,138.0000,1,1,19,4,7,123.0000,True,False,True,False,0,False,18,False,0,6,9,5,11.4000,0,0,6,14,2,13.5000,0,8.9000,1.4000,3.5100,Dropout,True,True,0.7370,Medium,Social Service
