Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Status_Prediction,Probability,RiskLevel
1,17,5,171,1,1,122.0000,1,19,12,5,9,127.3000,True,False,False,True,1,False,20,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Dropout,Dropout,0.0280,Low
1,15,1,9254,1,1,160.0000,1,1,3,3,3,142.5000,True,False,False,False,1,False,19,False,0,6,6,6,14.0000,0,0,6,6,6,13.6667,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.0127,Low
1,1,5,9070,1,1,122.0000,1,37,37,9,9,124.8000,True,False,False,False,1,False,19,False,0,6,0,0,0.0000,0,0,6,0,0,0.0000,0,10.8000,1.4000,1.7400,Dropout,Dropout,0.0004,Low
1,17,2,9773,1,1,122.0000,1,38,37,5,3,119.6000,True,False,False,True,0,False,20,False,0,6,8,6,13.4286,0,0,6,10,5,12.4000,0,9.4000,-0.8000,-3.1200,Graduate,Graduate,0.0788,Low
2,39,1,8014,0,1,100.0000,1,37,38,9,9,141.5000,False,False,False,True,0,False,45,False,0,6,9,5,12.3333,0,0,6,6,6,13.0000,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.0401,Low
2,39,1,9991,0,19,133.1000,1,37,37,9,7,114.8000,False,False,True,True,1,False,50,False,0,5,10,5,11.8571,0,0,5,17,5,11.5000,5,16.2000,0.3000,-0.9200,Graduate,Graduate,0.0396,Low
1,1,1,9500,1,1,142.0000,1,19,38,7,10,128.4000,True,False,False,True,0,True,18,False,0,7,9,7,13.3000,0,0,8,8,8,14.3450,0,15.5000,2.8000,-4.0600,Graduate,Graduate,0.0043,Low
1,18,4,9254,1,1,119.0000,1,37,37,9,9,113.1000,True,False,False,False,1,False,22,False,0,5,5,0,0.0000,0,0,5,5,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,Dropout,0.0005,Low
1,1,3,9238,1,1,137.0000,62,1,1,9,9,129.3000,False,False,False,True,0,True,21,True,0,6,8,6,13.8750,0,0,6,7,6,14.1429,0,16.2000,0.3000,-0.9200,Graduate,Graduate,0.0010,Low
1,1,1,9238,1,1,138.0000,1,1,19,4,7,123.0000,True,False,True,False,0,False,18,False,0,6,9,5,11.4000,0,0,6,14,2,13.5000,0,8.9000,1.4000,3.5100,Dropout,Dropout,0.1663,Medium
1,1,1,9670,1,1,139.0000,1,38,19,5,7,130.6000,True,False,False,True,0,False,18,False,0,6,6,6,12.3333,0,0,6,7,5,14.2000,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.0829,Low
1,1,1,9500,1,1,136.0000,1,19,38,9,9,119.3000,True,False,False,True,0,True,18,False,0,8,8,7,13.2143,0,0,8,8,7,13.2143,0,12.7000,3.7000,-1.7000,Graduate,Graduate,0.0493,Low
1,1,2,9853,1,1,133.0000,1,19,37,4,9,130.2000,True,False,False,True,0,False,19,False,0,6,6,0,0.0000,0,0,6,0,0,0.0000,0,12.7000,3.7000,-1.7000,Dropout,Dropout,0.0044,Low
1,53,1,9254,1,42,110.0000,1,1,1,4,7,111.8000,True,False,False,True,0,True,21,False,0,6,7,6,10.5714,0,0,6,8,5,11.0000,0,8.9000,1.4000,3.5100,Graduate,Graduate,0.1041,Medium
1,1,1,9085,1,1,149.0000,1,38,37,5,5,137.1000,True,False,False,True,0,True,18,False,0,5,7,4,13.2500,0,0,5,5,5,12.0000,0,10.8000,1.4000,1.7400,Graduate,Graduate,0.1146,Medium
1,1,1,9773,1,1,127.0000,1,19,37,9,3,120.7000,True,False,False,True,0,False,20,False,0,6,6,5,13.2000,0,0,6,7,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,Dropout,0.0377,Low
1,18,1,9238,1,1,137.0000,1,19,38,5,8,137.4000,True,False,False,True,0,False,18,False,0,6,10,1,12.0000,0,0,6,14,2,11.0000,0,10.8000,1.4000,1.7400,Enrolled,Enrolled,0.6008,High
1,17,2,9500,1,1,135.0000,1,19,1,5,4,127.3000,True,False,False,True,0,False,18,False,0,7,8,7,13.3063,0,0,8,8,8,14.5450,0,15.5000,2.8000,-4.0600,Graduate,Graduate,0.0075,Low
1,1,1,9130,1,1,137.0000,1,3,19,3,5,136.3000,True,False,False,True,0,False,20,False,0,5,8,4,12.5000,1,0,5,8,4,12.2500,2,10.8000,1.4000,1.7400,Graduate,Enrolled,0.8229,High
1,1,1,9853,1,1,140.0000,1,19,19,7,7,124.6000,True,False,False,True,0,False,18,False,0,7,7,6,11.6667,0,0,7,8,6,13.5000,0,16.2000,0.3000,-0.9200,Enrolled,Enrolled,0.7288,High
1,1,3,171,1,1,122.0000,1,1,1,9,8,120.3000,False,False,False,True,0,True,21,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.0406,Low
1,18,4,9556,1,1,127.0000,1,1,38,4,7,121.8000,True,False,False,True,0,False,20,False,0,7,14,7,11.4375,0,0,8,9,8,11.4250,0,12.7000,3.7000,-1.7000,Enrolled,Graduate,0.0731,Low
1,1,4,9500,1,1,142.0000,1,19,19,1,1,125.5000,True,False,False,True,0,False,18,False,0,8,12,7,12.8571,0,0,8,12,7,12.8571,0,12.7000,3.7000,-1.7000,Graduate,Graduate,0.0411,Low
1,1,4,9670,1,1,125.0000,1,1,38,4,7,114.9000,True,False,False,True,0,True,19,False,0,6,8,6,13.3750,0,0,6,7,6,12.2857,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.0281,Low
1,1,1,9500,1,1,126.0000,1,19,19,3,7,123.9000,False,False,False,True,0,False,19,False,0,7,8,6,13.2967,0,0,8,9,7,14.1143,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.1362,Medium
1,1,1,9238,1,1,151.0000,1,19,38,9,9,157.0000,True,False,True,True,0,True,18,False,0,6,8,5,11.6000,0,0,6,12,4,11.0000,0,7.6000,2.6000,0.3200,Enrolled,Enrolled,0.8179,High
1,17,2,9238,1,1,115.0000,1,19,38,7,8,116.4000,True,False,False,True,0,False,21,False,0,6,9,6,11.3750,0,0,6,9,6,13.2857,0,16.2000,0.3000,-0.9200,Graduate,Graduate,0.0243,Low
1,1,1,9085,1,1,138.0000,1,19,19,3,3,131.0000,True,False,False,True,0,False,18,False,0,5,9,5,12.6667,2,0,5,7,4,13.0000,0,9.4000,-0.8000,-3.1200,Enrolled,Enrolled,0.7790,High
1,1,1,9147,1,1,135.0000,1,19,1,9,9,122.1000,True,False,False,True,0,False,20,False,0,5,6,5,12.0000,0,0,5,6,5,12.3333,0,16.2000,0.3000,-0.9200,Graduate,Graduate,0.0412,Low
1,17,2,9500,1,1,127.0000,1,3,3,1,10,118.8000,True,False,False,True,1,False,19,False,0,7,9,6,12.9333,0,0,7,7,6,13.7167,0,16.2000,0.3000,-0.9200,Enrolled,Enrolled,0.9002,High
1,44,1,9003,1,39,150.0000,1,4,5,4,2,150.0000,False,False,False,True,1,False,21,False,0,6,15,5,11.8571,0,0,6,17,5,10.5714,0,16.2000,0.3000,-0.9200,Enrolled,Graduate,0.2666,Medium
1,51,1,9070,1,1,125.0000,1,42,3,125,124,130.0000,True,False,False,True,1,False,20,False,2,6,7,6,12.8333,0,0,6,9,4,13.4000,0,8.9000,1.4000,3.5100,Graduate,Enrolled,0.6236,High
1,1,1,9147,1,1,143.0000,1,1,1,4,6,138.8000,False,False,False,False,1,False,18,False,0,5,9,3,11.3333,0,0,5,8,2,13.5000,0,8.9000,1.4000,3.5100,Enrolled,Enrolled,0.8742,High
1,18,1,8014,0,1,138.0000,1,19,1,9,5,134.5000,True,False,False,True,0,False,19,False,0,6,6,6,12.6667,0,0,6,8,6,14.3750,0,12.4000,0.5000,1.7900,Graduate,Graduate,0.0104,Low
1,1,1,9991,0,1,130.0000,1,2,37,3,9,131.4000,False,False,False,True,1,False,34,False,0,5,6,5,12.4000,0,0,5,9,5,13.4286,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.3389,Medium
1,39,1,33,1,1,130.0000,1,38,37,9,6,102.5000,False,False,True,False,1,False,37,False,0,7,7,0,0.0000,0,0,7,7,1,10.0000,0,8.9000,1.4000,3.5100,Dropout,Dropout,0.0144,Low
1,39,1,9119,1,10,133.1000,1,34,37,0,0,128.8000,True,False,False,True,1,False,43,False,0,5,0,0,0.0000,0,0,5,0,0,0.0000,0,7.6000,2.6000,0.3200,Dropout,Dropout,0.0003,Low
1,43,1,9147,1,1,140.0000,1,37,37,6,6,122.9000,False,False,False,True,0,False,55,False,0,5,10,1,10.0000,0,0,5,8,2,12.0000,2,16.2000,0.3000,-0.9200,Dropout,Dropout,0.0301,Low
4,39,1,9991,0,1,120.0000,1,19,19,9,3,113.9000,True,False,False,True,0,False,39,False,0,5,8,5,11.0000,0,0,5,5,5,11.6000,0,7.6000,2.6000,0.3200,Graduate,Graduate,0.2880,Medium
1,44,1,9130,1,39,120.0000,6,4,4,3,6,120.0000,False,False,True,False,0,False,20,True,2,6,13,3,11.6667,0,1,6,11,3,12.0000,0,12.4000,0.5000,1.7900,Dropout,Dropout,0.0420,Low
1,1,5,9773,1,1,126.0000,1,3,3,2,2,121.1000,False,False,True,True,0,False,18,False,0,6,6,4,12.7500,0,0,5,5,0,0.0000,0,12.7000,3.7000,-1.7000,Dropout,Dropout,0.0032,Low
1,1,2,9147,1,1,133.0000,1,3,19,2,7,120.4000,True,False,False,True,0,False,22,False,0,5,5,5,14.8000,0,0,5,5,5,15.8000,0,8.9000,1.4000,3.5100,Graduate,Graduate,0.0148,Low
1,1,6,9500,1,1,103.0000,1,1,3,2,2,100.6000,True,True,False,True,0,False,22,False,0,7,9,5,13.9280,0,0,8,9,7,14.3429,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.0712,Low
1,17,1,9773,1,1,120.0000,1,1,38,5,5,121.4000,False,False,False,False,0,False,20,False,0,6,7,4,13.0000,0,0,6,7,5,13.8000,0,12.4000,0.5000,1.7900,Dropout,Dropout,0.0963,Medium
1,39,1,9991,0,1,133.1000,1,37,37,9,9,109.7000,False,False,False,True,0,False,29,False,0,5,0,0,0.0000,0,0,5,0,0,0.0000,0,16.2000,0.3000,-0.9200,Dropout,Dropout,0.0026,Low
1,17,1,9991,0,1,154.0000,1,38,38,4,5,134.1000,False,False,False,True,0,False,24,False,0,5,9,2,11.5000,0,0,5,11,3,14.3333,1,7.6000,2.6000,0.3200,Enrolled,Enrolled,0.8526,High
1,17,2,9238,1,1,130.0000,1,19,19,9,9,127.6000,True,False,False,True,0,False,18,False,0,6,6,6,11.6667,0,0,6,8,5,13.2000,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.1115,Medium
1,17,6,9500,1,1,132.0000,1,37,19,7,7,132.4000,True,False,False,True,0,True,22,False,0,7,8,6,13.5167,0,0,8,9,7,13.7714,0,11.1000,0.6000,2.0200,Graduate,Graduate,0.0888,Medium
1,44,1,8014,0,39,130.0000,1,1,19,9,9,133.4000,False,False,False,True,0,True,21,False,3,6,6,6,11.5000,0,2,6,7,6,13.2857,0,12.4000,0.5000,1.7900,Graduate,Graduate,0.0092,Low
1,1,1,9238,1,1,139.0000,1,37,38,9,9,126.1000,False,False,False,True,0,True,19,False,0,6,7,5,12.3333,0,0,6,7,6,12.8333,0,12.7000,3.7000,-1.7000,Graduate,Graduate,0.0059,Low
1,39,1,9254,1,1,130.0000,1,19,38,9,7,113.5000,False,False,False,True,0,True,24,False,0,6,6,6,13.6667,0,0,6,6,6,14.1667,0,12.4000,0.5000,1.7900,Graduate,Graduate,0.0119,Low
1,1,1,9500,1,1,139.0000,1,37,38,6,6,121.3000,True,False,False,True,0,True,19,False,0,8,10,6,11.8333,0,0,8,10,6,11.8333,0,9.4000,-0.8000,-3.1200,Enrolled,Enrolled,0.7989,High
1,1,1,9773,1,1,127.0000,1,1,19,7,7,121.8000,True,False,False,True,0,True,20,False,0,6,11,4,14.0000,0,0,6,12,3,11.0000,0,9.4000,-0.8000,-3.1200,Enrolled,Enrolled,0.7885,High
1,1,3,9130,1,1,167.0000,1,37,37,90,90,159.3000,False,False,False,True,0,False,19,False,0,5,7,5,14.7143,0,0,5,5,5,15.8000,0,7.6000,2.6000,0.3200,Graduate,Graduate,0.0018,Low
1,39,1,9991,0,1,130.0000,1,38,38,9,9,120.0000,False,False,False,True,0,False,27,False,0,5,12,5,10.6000,0,0,5,10,5,11.0000,0,9.4000,-0.8000,-3.1200,Dropout,Enrolled,0.8925,High
1,1,1,9500,1,1,130.0000,1,1,19,5,5,129.1000,True,False,False,True,0,False,18,False,0,7,9,7,13.0444,0,0,8,10,8,13.5950,0,15.5000,2.8000,-4.0600,Graduate,Graduate,0.0735,Low
2,7,1,9254,1,3,130.0000,1,1,3,4,3,130.0000,False,False,False,True,0,False,39,False,0,6,10,0,0.0000,0,0,6,6,0,0.0000,0,12.4000,0.5000,1.7900,Dropout,Dropout,0.0100,Low
1,39,1,9130,1,40,129.0000,1,3,3,2,2,155.3000,True,False,False,True,0,False,27,False,0,6,9,5,13.0000,0,5,11,13,10,12.9000,0,12.4000,0.5000,1.7900,Dropout,Enrolled,0.7117,High
1,17,1,9500,1,1,141.0000,1,38,38,7,10,139.8000,True,False,False,True,0,False,18,False,0,8,8,8,14.9350,0,0,8,8,8,14.9350,0,9.4000,-0.8000,-3.1200,Graduate,Graduate,0.0141,Low
1,1,3,171,1,1,125.0000,1,38,37,4,9,115.2000,True,False,False,True,0,False,18,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,7.6000,2.6000,0.3200,Enrolled,Enrolled,0.6037,High
1,1,2,9500,1,1,125.0000,1,19,19,9,9,114.9000,False,False,False,True,0,False,18,False,0,7,8,6,13.1333,0,0,8,12,7,12.2214,0,16.2000,0.3000,-0.9200,Graduate,Graduate,0.2119,Medium
1,44,1,9238,1,39,130.0000,1,19,1,9,9,131.9000,False,False,False,True,0,True,21,False,3,6,7,6,12.0000,0,2,6,7,6,12.0000,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.0067,Low
1,17,3,171,1,1,133.0000,1,1,37,4,7,126.0000,True,False,False,True,1,True,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Enrolled,Enrolled,0.5815,Medium
1,17,1,9070,1,1,127.0000,1,1,1,3,4,130.2000,True,False,False,True,1,False,19,False,0,6,6,5,11.4000,0,0,6,8,1,10.0000,0,10.8000,1.4000,1.7400,Enrolled,Enrolled,0.8768,High
1,43,1,9070,1,1,116.0000,1,1,1,3,3,120.9000,False,False,False,True,1,False,24,False,0,6,6,0,0.0000,0,0,6,6,0,0.0000,0,12.7000,3.7000,-1.7000,Enrolled,Enrolled,0.6868,High
4,42,1,9500,1,19,133.1000,1,1,1,5,5,126.0000,True,False,False,True,1,False,29,False,2,7,10,5,11.9000,0,1,8,10,5,11.0000,0,13.9000,-0.3000,0.7900,Dropout,Dropout,0.3770,Medium
1,1,3,171,1,1,139.0000,1,19,19,5,3,128.2000,True,False,False,True,1,True,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,10.8000,1.4000,1.7400,Graduate,Graduate,0.0298,Low
1,44,1,9003,1,39,130.0000,1,19,37,9,9,130.0000,True,False,False,True,1,False,23,False,0,6,8,6,12.5714,0,0,6,7,6,12.4286,0,8.9000,1.4000,3.5100,Graduate,Graduate,0.0441,Low
1,1,3,9147,1,1,125.0000,1,1,38,7,7,120.1000,False,False,True,True,1,False,19,False,0,5,8,5,11.2000,0,0,5,10,4,10.7500,3,16.2000,0.3000,-0.9200,Dropout,Graduate,0.2616,Medium
1,39,1,9254,1,1,160.0000,1,19,37,7,10,100.0000,False,False,False,True,1,False,26,False,0,6,7,6,12.0000,0,0,6,8,5,10.8000,0,12.7000,3.7000,-1.7000,Enrolled,Enrolled,0.6828,High
1,17,1,9147,1,1,148.0000,1,38,37,5,5,134.0000,False,False,False,True,1,False,18,False,0,5,9,0,0.0000,0,0,5,5,0,0.0000,0,7.6000,2.6000,0.3200,Enrolled,Dropout,0.1223,Medium
1,17,1,9500,1,1,150.0000,1,37,19,8,4,130.8000,False,False,False,True,1,False,24,False,0,7,8,7,11.9750,0,0,8,8,8,13.7500,0,13.9000,-0.3000,0.7900,Graduate,Graduate,0.0233,Low
1,1,1,171,1,1,141.0000,1,19,19,5,10,135.8000,True,False,False,True,1,False,19,False,0,0,0,0,0.0000,0,0,0,0,0,0.0000,0,15.5000,2.8000,-4.0600,Dropout,Dropout,0.1055,Medium
1,17,4,9254,1,1,118.0000,1,38,37,5,7,111.7000,True,False,False,True,1,False,18,False,0,6,12,3,11.6667,0,0,6,12,1,12.0000,0,12.4000,0.5000,1.7900,Dropout,Dropout,0.0130,Low
1,1,2,9773,1,1,142.0000,1,38,38,9,9,132.9000,True,False,False,True,1,False,18,False,0,6,8,6,12.3333,0,0,6,11,3,12.3333,0,10.8000,1.4000,1.7400,Graduate,Dropout,0.1975,Medium
1,17,3,9147,1,1,120.0000,1,19,19,4,7,115.5000,True,False,True,True,1,False,18,False,0,5,8,3,10.3333,0,0,5,11,3,10.8571,0,10.8000,1.4000,1.7400,Dropout,Enrolled,0.6927,High
